Term,Translation,Status,ReviewedBuildId,Comment
Enemies/bat_lore,"숲 속 많은 생물의 천적이지만, 배티는 베놈 배트트랩이라는 적절한 이름의 생물에 매우 취약한 먹잇감입니다.",draft,,
Enemies/bat_name,배티,draft,,
Enemies/big_plant_desc,"베놈 배트트랩이 지나치게 자란 변종으로, 셋이 무리를 지어 방심한 먹잇감을 사냥합니다. 빠르게 처치하려면 관통이나 오버플로우처럼 여러 적을 공격할 수 있는 효과를 준비하세요!",draft,,
Enemies/big_plant_dev,"페그보드 대부분을 벽돌 페그로 구성한 최초의 미니보스 전투 중 하나입니다. 당시 만들어진 페그보드는 대부분 나중에 개편되었지만, 이 보드는 오랫동안 거의 그대로 유지되었습니다.",draft,,
Enemies/big_plant_lore,"이 식물이 항상 셋씩 무리를 지어 자라는 이유는 확실하지 않지만, 가장 유력한 가설은 식물 수가 적은 무리는 포식자를 막기에는 너무 약하고, 큰 무리는 무리를 유지할 수 있는 충분한 먹이를 확보할 수 없기 때문이라는 것입니다.",draft,,
Enemies/big_plant_name,과성장 베놈 배트트랩,draft,,
Enemies/brick_slime_desc,벽돌 슬라임박스는 엄청난 무게로 적의 머리를 내리쳐 대미지를 줍니다. 얽힘으로 가두면 전진할 수 없을 뿐만 아니라 공격도 불가능해집니다.,draft,,
Enemies/brick_slime_dev,이 적은 독특한 공격 애니메이션과 관련된 소프트락 버그를 수개월 동안 간헐적으로 추적한 개발자들의 기억에 영원히 남을 것입니다. 플레이어와 직접 접촉하는 원거리 공격을 쓰는 유일한 적이어서 흥미로운 예외 상황도 여럿 만들었습니다.,draft,,
Enemies/brick_slime_lore,"이 낯선 적들은 수정을 보관하는 데 사용되던 성의 방에서 가장 자주 나타나는 것으로 보입니다. 이 ""슬라임""이 슬라임드롭과 얼마나 밀접한 관련이 있는지는 알 수 없지만, 생김새가 비슷하기 때문에 많은 사람들이 이 둘을 함께 분류하고 있습니다.",draft,,
Enemies/brick_slime_name,벽돌 슬라임박스,draft,,
Enemies/bulky_knight_desc,단순하지만 위험합니다. 높은 맷집으로 동료를 지키는 대신 이기적으로 뒤에 남아 원거리 공격을 합니다. 누구를 먼저 노릴지 신중히 판단하세요.,draft,,
Enemies/bulky_knight_dev,"무례한 기사는 페그 바운서를 염두에 두고 설계된 적으로, 그런 생김새에 어울리면서도 플레이어가 바운서로 낼 수 있는 추가 대미지를 버텨낼 수 있어야 했습니다.",draft,,
Enemies/bulky_knight_lore,이 거구는 다른 기사들의 음식을 슬쩍 훔친 뒤 갈아 만든 수정 가루를 양념처럼 뿌려 먹기로 악명이 높습니다. 그 결과 더 많은 음식 절도와 체격 증가라는 부당한 이득을 챙기고 있습니다.,draft,,
Enemies/bulky_knight_name,무례한 기사,draft,,
Enemies/castle_mirror_enemy_desc,"거울은 깨지기 쉽지만, 파괴될 정도로 강력한 타격이 아니라면 투사체를 날아온 방향 그대로 되튕겨냅니다. 또한, 똑바로 선 형태 덕분에 지정 공격에도 꽤 강합니다.",draft,,
Enemies/castle_mirror_enemy_dev,"거울 페그보드에서 구슬을 조심스럽게 던지기는 어렵겠지만, 거울이 구슬을 되튕겨내기 전에 산산조각 낼 강력한 한 번의 명중을 위해 때로는 구슬을 살살 던질 필요가 있습니다.",draft,,
Enemies/castle_mirror_enemy_lore,거울에 비친 모습이 기괴하고 섬뜩한 데다 너무 자세히 들여다보면 장난을 치기 때문에 어떤 성 주민도 감히 이 거울을 두 번 이상 들여다보지 못합니다.,draft,,
Enemies/castle_mirror_enemy_name,마법의 거울,draft,,
Enemies/chandelier_desc,그리 강하지는 않지만 다른 공격자와 함께 나타나면 마법 불꽃이 상당히 위험합니다. 쓰러뜨리면 아래에 있는 불운한 대상 위로 추락해 대미지를 줍니다.,draft,,
Enemies/chandelier_dev,"샹볼리에가 발사하는 화염구 버전은 페글린의 첫 프로토타입인 고블린 드롭뿐 아니라, 그보다 더 이전 게임인 고블린 골프에서도 사용되었습니다.",draft,,
Enemies/chandelier_lore,"성 안에서는 어떤 것도 수정의 영향에서 자유롭지 않은 듯합니다. 방심하면 마법 불꽃이 꽤 위험할 수 있지만, 기사들은 샹볼리에를 유인해서 성의 차가운 돌 복도를 데우는 데 써먹는 법을 터득했습니다.",draft,,
Enemies/chandelier_name,샹볼리에,draft,,
Enemies/cleric_desc,이 강력한 성직자는 공격과 방어 모두에 마법을 사용할 수 있습니다. 부대가 전력을 회복하기 전에 빠르게 처치하는 것이 중요합니다.,draft,,
Enemies/cleric_dev,"이 적들은 지금의 행동 방식이 정해지기까지 여러 차례 수정을 거쳤습니다. 처음에는 매 턴 아군을 치유했는데, 때로는 지나치게 강하고 답답했습니다. 공격과 치유를 번갈아 하도록 바꾸자 더 위협적이면서도 덜 성가셔졌습니다.",draft,,
Enemies/cleric_lore,"마법에 재능이 있는 기사 기사는 빛의 기사가 되는 훈련을 받을 수 있습니다. 이들의 마법 서약에는 원래 ""해를 끼치지 않는다""는 내용이 포함되어 있었지만, 기사들이 처한 위태로운 상황을 고려하여 수정되었습니다.",draft,,
Enemies/cleric_name,빛의 기사,draft,,
Enemies/demon_wall_boss_desc,"악의 손과의 전투에서 살아남은 후, 악의 벽이 느리게 접근하면 방심하기 쉽지만, 무시무시한 입에 너무 가까이 다가가지 않도록 주의해야 합니다. 치유나 상태 이상 효과에 집중했다면 성에서 다른 도구를 모아 보스를 처치하세요.",draft,,
Enemies/demon_wall_boss_dev,"기본 키 기사 미니언은 초기 플레이테스터들이 대미지 방지 상태와 유물을 지닌 채 잡아먹히는 상황에 당황하고 충격받은 뒤, 이를 알려 주는 단서로 추가됐습니다.",draft,,
Enemies/demon_wall_boss_lore,"악의 벽에 먹힌 기사들의 소식은 다시는 들리지 않았지만, 기사들 사이에는 악의 벽이 실제로 다른 세계로 통하는 문이라고 믿는 사이비 종교가 있습니다.",draft,,
Enemies/demon_wall_boss_name,악의 벽,draft,,
Enemies/demon_wall_miniboss_desc,"하이파이브! 이 적은 원거리 공격은 없지만, 강력한 근접 공격으로 이를 충분히 상쇄합니다. 대부분의 상태 이상 효과에 면역이기 때문에 강력한 공격과 효과적인 방어만으로 싸워야 할 가능성이 높습니다.",draft,,
Enemies/demon_wall_miniboss_dev,"페글린은 JRPG 비유와 레퍼런스로 가득하지만, 악의 손과 악의 벽은 개인적으로 가장 좋아하는 요소 중 하나입니다. 원래 악의 손의 아트는 성 보스를 위한 것이었지만, 더 크고 위협적인 버전을 만들어서 그 역할을 대신할 수 있다고 생각했습니다.",draft,,
Enemies/demon_wall_miniboss_lore,"학자들은 악의 손이 자라서 악의 벽이 되는지, 아니면 둘이 같은 생물의 일부인지 조사하고 있습니다. 악의 발이 있다는 소문도 돌지만, 증거가 될 만한 발가락은 하나도 발견되지 않았습니다.",draft,,
Enemies/demon_wall_miniboss_name,악의 손,draft,,
Enemies/dragon_boss_desc,"이 드래곤이 쌓아 둔 보물 덕분에 페그보드가 빽빽해 막대한 대미지를 줄 수 있습니다. <sprite name=""REFRESH_PEG"">가 파묻힐 때를 대비해 새로고침 수단을 따로 준비하는 편이 좋습니다!",draft,,
Enemies/dragon_boss_dev,"아이러니하게도 이 광산 보스는 게임 소개 문구(""용들이 페글린을 터뜨리고 있다"")에서 가장 먼저 예고되었지만, 실제로는 가장 늦게 출시된 광산 보스였습니다. 개발 중 여러 차례 4막 보스로 기획되기도 했지만, 라디아의 이야기가 구체화되면서 바뀌었습니다.",draft,,
Enemies/dragon_boss_lore,"테사우로수스의 탐욕에는 끝이 없습니다. 그가 모은 보물 중 상당수는 페글린들에게서 훔친 것이지만, 라디아 곳곳에서 가져온 금과 장신구도 들어 있습니다.",draft,,
Enemies/dragon_boss_name,테사우로수스,draft,,
Enemies/eye_bat_desc,몸의 대부분을 거대한 눈과 맞바꾼 배트아이는 더는 적의 에너지를 흡수할 수 없습니다. 대신 순전히 악의로 공격합니다.,draft,,
Enemies/eye_bat_dev,"거미줄 페그보드는 게임 방식을 크게 바꿔 호불호가 갈립니다. 저희는 광산에서 개발한 깜빡이는 페그와 결합하고 싶었고, 그래서 배티와 웨버의 새로운 버전을 만들어 옛 페그보드를 떠올리게 하는 페그보드를 구현했습니다.",draft,,
Enemies/eye_bat_lore,광산 깊숙이 들어가 수정의 영향을 받은 배티는 가장 갈망하던 감각이 몸을 지배하는 흉측한 생물로 변합니다. 하지만 새 눈이 바깥세상에 지나치게 민감해 영원히 광산을 떠돌 수밖에 없습니다.,draft,,
Enemies/eye_bat_name,배트아이,draft,,
Enemies/ghost_miniboss_desc,"페그타는 페그보드의 페그를 모두 먹어치운 배고픈 유령입니다! 다행히도 <sprite name=""REFRESH_PEG"">와 <sprite name=""CRIT_PEG"">의 힘을 사용하면 페그보드를 복구할 수 있습니다.",draft,,
Enemies/ghost_miniboss_dev,"페그타의 페그보드는 기본 <sprite name=""REFRESH_PEG""> 하나만 남은 채 시작하지만, 완전히 복구하면 페그가 총 120개나 됩니다! 물론 전부 복구하기 전에 승리할 가능성이 높습니다.",draft,,
Enemies/ghost_miniboss_lore,대부분의 광산 주민들은 페그타를 두려워하며 페그타의 끝없는 식욕을 막기 위해 페그보드를 지키고 있습니다. 하지만 보이지 않는 적들은 페그타와 함께 있는 것을 꽤나 좋아합니다.,draft,,
Enemies/ghost_miniboss_name,페그타,draft,,
Enemies/goblin_sapper_desc,가엾어 보이지만 엄청나게 강한 공격을 합니다. 대신 자신의 체력을 소모하며 아군까지 다치게 할 수 있습니다. 공격을 막거나 피하거나 이들을 한곳에 몰아넣으면 알아서 서로를 처리할 것입니다.,draft,,
Enemies/goblin_sapper_dev,보스 유물인 '공병의 가방'으로 자폭해 본 모든 페글린 플레이어에게 경의를 표합니다...,draft,,
Enemies/goblin_sapper_flying_minion_desc,"이 적들은 개별적으로는 광산 보스전을 치르기에는 매우 약하지만, 공격을 성공시키거나 <sprite name=""RIGGED_BOMB"">을 너무 많이 던져 제압해야 한다면 큰 위험을 초래할 수 있습니다.",draft,,
Enemies/goblin_sapper_flying_minion_dev,"이 적들이 처음 생성되어 공병 대장 옆에 붙었을 때 <sprite name=""RIGGED_BOMB"">을 터뜨리는 게 가장 좋습니다. 보스 본체는 <sprite name=""BOMB"">에 직접 큰 대미지를 입지 않더라도, 미니언이 폭발하면 대미지를 온전히 받습니다!",draft,,
Enemies/goblin_sapper_flying_minion_lore,감정이 거의 없는 이 공병들도 큰 보스를 지킨다는 데에는 묘한 우월감을 느낍니다. 광산에서 가장 위험한 일이라는 사실은 모르거나 신경 쓰지 않는 듯합니다.,draft,,
Enemies/goblin_sapper_flying_minion_name,비행 공병 (미니언),draft,,
Enemies/goblin_sapper_lore,"광산에서 쓰러진 페글린 모험가는 종종 이 끔찍한 운명을 맞아, 새 우두머리가 가리키는 것은 무엇이든 공격하는 이성 없는 생물로 변합니다.",draft,,
Enemies/goblin_sapper_minion_desc,"일반 페글린 공병과 마찬가지로, 이 적들이 공병 대장과 나란히 있을 때 처치하면 자기 보스에게 대미지를 줍니다!",draft,,
Enemies/goblin_sapper_minion_dev,"사실 모든 공병 적들은 백과사전을 만들면서 개편한 것들인데, 설명을 작성할 때쯤에야 주변 적에게 대미지를 주도록 하는 이전 아이디어를 다시 검토하기로 했습니다.",draft,,
Enemies/goblin_sapper_minion_lore,공병 대장에게 용감히 맞섰지만 끝내 패배한 페글린 가운데 엄선된 공병들입니다.,draft,,
Enemies/goblin_sapper_minion_name,페글린 공병 (미니언),draft,,
Enemies/goblin_sapper_name,페글린 공병,draft,,
Enemies/indoor_plant_desc,기사들이 거점을 지키거나 때로는 공격하는 데 활용하려고 계속 실험해 온 이 사나운 식물은 야생 식물보다 눈에 띄게 강합니다.,draft,,
Enemies/indoor_plant_dev,초기 개발 버전에서는 임시 그림을 사용해 이 적이 공병의 가방 유물 안에 앉아 있었습니다. 다행히 공개 전에 그림을 교체했습니다!,draft,,
Enemies/indoor_plant_lore,"이 식물이 자라는 흙에 수정을 갈아 넣은 일은 페그리컬처 분야의 놀라운 발전이었습니다. 길들이는 데 성공한 것은 인상적이지만, 이들을 돌보는 기사들은 이상할 만큼 자주 실종됩니다...",draft,,
Enemies/indoor_plant_name,애완 배트트랩,draft,,
Enemies/invisible_miniboss_desc,이 투명한 생물들은 언제나 우두머리를 따라 무리 지어 다닙니다. 우두머리는 나머지보다 훨씬 강하고 무리가 갈 곳을 정하는 듯합니다.,draft,,
Enemies/invisible_miniboss_dev,"투명 무리가 지나치는 상대를 실명시키는 장본인입니다. 이 적을 처치하면 남은 미니언이 모습을 드러내거나 후퇴하게 만들고 싶었지만, 아쉽게도 실제로는 그렇지 않습니다.",draft,,
Enemies/invisible_miniboss_lore,"이들이 나타나면 근처에 있는 이들은 어김없이 잠시 눈이 멀기에 정체를 아는 사람이 없습니다. 운이 좋은 이들은 무리가 지나갈 때까지 버티면 시력을 되찾습니다. 운이 나쁜 이들은요? 글쎄요, 아무도 모릅니다...",draft,,
Enemies/invisible_miniboss_name,투명 미니보스,draft,,
Enemies/invisible_minion_desc,이들에 관해 알려진 바는 많지 않습니다. 갑자기 나타나서 공격하고 때로는 바로 허공으로 사라지기도 합니다. 지정 공격으로는 공격할 수 없으므로 광산을 파헤칠 때 폭탄이나 다양한 구슬을 가져가는 것이 중요합니다.,draft,,
Enemies/invisible_minion_dev,이 적 역시 아티스트의 작업이 밀려 있을 때 개발되었습니다. 다만 이번에는 지정 공격으로 맞힐 수 없다는 특징을 주제에 맞게 전달하는 좋은 방법이라고 생각했습니다.,draft,,
Enemies/invisible_minion_lore,"광부 가족들 사이에서는 실종된 광부들이 투명 미니언에게 구조되어 집으로 돌아갈 수는 없지만 살아서 안전하다는 이야기가 전해지고 있습니다. 그 이야기가 사실일 수도 있지만, 제가 직접 경험하고 싶은 '구조'는 아닙니다.",draft,,
Enemies/invisible_minion_name,투명 미니언,draft,,
Enemies/knight_desc,"이 적들은 개별적인 특징이 없으며, 수적 우위에 의존해 적을 쓰러뜨리려 합니다. 여러 적을 공격하는 공격은 모든 기사단의 골칫거리입니다.",draft,,
Enemies/knight_dev,사실 이 적과 키 기사는 페글린 이전의 게임 잼 게임인 고블린 드롭에서 처음 구현된 적입니다. 이 적들은 슬라임드롭이 검을 들고 다니는 이유이기도 합니다.,draft,,
Enemies/knight_lore,이 작은 전사들은 아직 광산 수정의 변형 효과에 굴복하지 않았습니다. 이들은 숲의 생명체와 광산에 숨어 있는 공포를 물리치느라 힘들게 살아가고 있습니다.,draft,,
Enemies/knight_miniboss_desc,"이 기사만으로도 위협적이지만, 직접 선발한 부대까지 이끌고 나타납니다. 너무 많은 공격을 받지 않도록 공격 대상을 신중히 고르세요.",draft,,
Enemies/knight_miniboss_dev,이 미니보스는 페글린에서 가장 오래된 캐릭터 아트를 자랑합니다. 2019년 게임 잼을 위해 개발된 오리지널 페글린 프로토타입인 고블린 드롭의 최종 보스로 등장한 이후 지금까지 그 아트가 그대로 유지되고 있습니다.,draft,,
Enemies/knight_miniboss_lore,기사의 변신 관련 수정의 효과를 가장 먼저 실험한 이 다재다능한 전사들은 지능을 유지하며 효과적인 대대장이 되었습니다.,draft,,
Enemies/knight_miniboss_name,키 기사,draft,,
Enemies/knight_name,기사 기사,draft,,
Enemies/leshy_boss_desc,아무도 기억할 수 없을 만큼 오랫동안 숲을 지켜 온 고대 존재입니다. 숲을 안전하게 지키기 위해 침입자를 가시덤불에 가두고 덩굴로 천천히 짓눌러 버립니다.,draft,,
Enemies/leshy_boss_dev,레시 벳시는 베타 v0.7.23을 출시했을 때 처음 선보였습니다. 이 아트는 거의 2년 동안 준비했고 마침내 v0.9.54에서 보스가 데뷔했습니다. 이것이 바로 게임 개발입니다!,draft,,
Enemies/leshy_boss_lore,벳시는 숲 곳곳에 많은 덤불과 울타리를 가꾸고 있습니다. 밟지 않도록 조심하지 않으면 그녀의 분노를 맛보게 될지도 모릅니다!,draft,,
Enemies/leshy_boss_name,레시 벳시,draft,,
Enemies/leshy_bush_desc,이 사랑스러운 아기 관목들은 숲의 새로운 세대입니다. 누군가 이들을 해치면 레시 벳시가 위험한 가시덤불로 재빨리 붙잡습니다.,draft,,
Enemies/leshy_bush_dev,"부시의 눈은 열매와 구조가 동일하지만, 신비하게도 부시는 여전히 앞을 볼 수 있습니다. 이 열매는 강력한 치유 효과를 가지고 있지만, 절망적이거나 냉정한 연금술사만이 사용할 수 있습니다.",draft,,
Enemies/leshy_bush_lore,"부시는 대체로 온순한 존재입니다. 마주치는 것 자체가 극히 드물며, 근처에 레시가 있느냐에 따라 엄청난 행운이나 끔찍한 불운의 징조로 여겨집니다.",draft,,
Enemies/leshy_bush_name,부시 (미니언),draft,,
Enemies/lightning_rod_castle_desc,이 피뢰침은 독특한 디자인 덕분에 지정 공격을 흡수하는 데는 완벽하지만 투사체에는 취약합니다. 페글린은 반짝이는 금속에서 눈을 뗄 수 없으므로 항상 먼저 조준해야 합니다!,draft,,
Enemies/lightning_rod_castle_dev,이 적들은 어떤 인터페이스로 페글린을 플레이하든 대상 고정 기능으로 대상을 변경할 수 없다는 점을 전달해야 했기 때문에 흥미로운 UX 과제가 되었습니다.,draft,,
Enemies/lightning_rod_castle_lore,"성 아래 광산에서 발견되는 철광석과 수정은 이 피뢰침을 만들기에 완벽했습니다. 피뢰침은 특정 공격으로부터 기사를 보호하는 데 매우 효과적이지만, 일부 기사들은 피뢰침에 매료된 후 자신의 임무를 완전히 회피하는 것으로 알려져 있습니다.",draft,,
Enemies/lightning_rod_castle_name,성 피뢰침,draft,,
Enemies/lightning_rod_mines_desc,"성의 피뢰침보다 훨씬 강력하며, 중심부의 수정 에너지로 시선을 붙잡습니다. 지각이 있는 생물은 물론 일부 무생물조차 눈을 돌릴 수 없습니다.",draft,,
Enemies/lightning_rod_mines_dev,광산 피뢰침의 중요한 역할 중 하나는 투명 미니보스 전투에서 눈에 보이는 적이 되어 주는 것입니다. 예전에는 첫 전투에서 보이는 적이 하나도 없어 게임이 고장 났다고 생각하는 플레이어가 많았습니다.,draft,,
Enemies/lightning_rod_mines_lore,기사들은 점점 더 깊은 땅을 파고 들어가면서 점점 더 많은 수정을 발견했습니다. 그러나 그들은 또한 그들을 막으려는 점점 더 강력한 생명체들을 발견했습니다. 피뢰침은 채굴을 계속할 수 있도록 괴물들의 주의를 집중시키는 데 매우 유용했습니다.,draft,,
Enemies/lightning_rod_mines_name,광산 피뢰침,draft,,
Enemies/mimic_miniboss_desc,이 교활한 흉내쟁이는 도망칠 수 없을 때까지 상자인 척합니다! 그래도 처치하면 수고한 보답으로 바닥에서 유물을 하나 더 찾을 수 있습니다.,draft,,
Enemies/mimic_miniboss_dev,재미있는 사실: 미믹은 당신이 갖고 있지 않은 희귀한 유물로만 공격합니다. 그래서 희귀한 유물을 모두 갖고 있을 때 미믹을 만나면 위로상을 뱉어냅니다!,draft,,
Enemies/mimic_miniboss_lore,"미믹이 가장 좋아하는 먹이는 탐욕스러운 페글린으로, 이빨을 드러낸 상자에 뛰어들기 전에는 거의 쳐다보지도 않습니다. 인내심이 강한 생물들은 미믹의 속임수를 알아채고 멀리 떨어져 있는 반면, 많은 생물들은 신비한 상자를 아예 멀리하는 방법을 택했습니다.",draft,,
Enemies/mimic_miniboss_name,미믹,draft,,
Enemies/mines_eldritch_desc,"덩치가 크고 강력하지만 모든 상태 효과에 약하며, 페그보드에서도 상당한 대미지를 쌓아 올릴 수 있습니다.",draft,,
Enemies/mines_eldritch_dev,"원래는 게임 디자이너가 아티스트보다 앞서서 단순히 플레이스홀더 아트로만 사용하려고 했지만, 팀원들은 이 으스스한 기사들이 마음에 들어 완전히 구현할 수 있도록 다듬었습니다.",draft,,
Enemies/mines_eldritch_lore,혹자는 이 기사들이 마법에 걸린 거울을 너무 오랫동안 쳐다보다가 결국 영혼 전체를 어딘가에 있는 다른 존재에게 옮겼다고 믿습니다...,draft,,
Enemies/mines_eldritch_name,밤의 기사,draft,,
Enemies/mines_large_slime_desc,"이 적들은 수정과 광산 환경에 완전히 적응한 듯합니다. 받는 힘 강화 효과가 2배로 적용되며, 포자버섯과 함께할 때는 엄청나게 강력해질 수 있습니다. 다가오기 전에 대비를 마쳐 두는 게 좋습니다.",draft,,
Enemies/mines_large_slime_dev,"광산용 적을 만들 때는 기존 적 가운데 수정화할 수 있는 녀석이 있는지 늘 살펴봅니다. 이번에는 작은 부하와 함께 등장하거나 혼자서도 위협적인 덩치 큰 적이 필요했고, 숲에 사는 슬라임글롭이 제격이라고 판단했습니다.",draft,,
Enemies/mines_large_slime_lore,"학자들과 모험가들은 이 적을 두고 의견이 갈립니다. 학자들은 슬라임이 수정의 영향에 둔감한 덕분에 그 사악한 기운을 정화하고 있을지도 모른다고 추측하지만, 모험가들은 자기들을 잡아먹으려 드는 거대한 적이 하나 더 늘어나는 걸 달가워하지 않습니다.",draft,,
Enemies/mines_large_slime_name,수정 슬라임글롭,draft,,
Enemies/mines_mirror_enemy_desc,성에 있는 거울과 달리 이 거울은 반사 표면을 구성하는 데 수정을 사용합니다. 수정 덕분에 더 견고하고 반사력이 뛰어나며 훨씬 더 매혹적입니다. 완전히 빠져들기 전에 빨리 처치해야 합니다.,draft,,
Enemies/mines_mirror_enemy_dev,"원래는 모든 거울 적은 일정 비율의 대미지를 반사했지만, 효과를 더 잘 전달하고 전투를 지체하지 않게 상태 효과로 변경하여 가변적으로 적용할 수 있도록 했습니다.",draft,,
Enemies/mines_mirror_enemy_lore,광산의 수정으로 거울을 만드는 것은 아주 나쁜 생각인 것으로 밝혀졌습니다... 너무 깊이 들여다보면 몇 분만 지나도 넋을 잃고 미쳐버리기 때문이죠.,draft,,
Enemies/mines_mirror_enemy_name,수정 거울,draft,,
Enemies/minotaur_desc,미니는 발이 빠르지만 전투 도끼를 준비하는 데 시간이 걸립니다. 라디아에서도 손꼽히는 강력한 일격이라 많은 이들이 기다릴 만한 가치가 있다고 말합니다.,draft,,
Enemies/minotaur_dev,"미니는 숲에서 가장 강력한 적 중 하나이지만, 방어력을 높이거나 상태 이상 효과로 쓰러뜨릴 수 있는 기회 또한 가장 많습니다.",draft,,
Enemies/minotaur_lore,숲의 미노타우로스는 원래 탈출하기 전 성의 경비병으로 길러졌다는 이야기도 있습니다. 어쨌든 이들은 숲의 미로 같은 통로에서 완벽하게 적응하고 있습니다.,draft,,
Enemies/minotaur_name,미노타우로스 미니,draft,,
Enemies/mole_boss_desc,"이 영리한 사기꾼은 숲의 식물과 생물을 방패로 삼습니다. 하지만 새 미니언을 심는 동안 빈틈을 보이며, 그때 페그보드에 새로운 <sprite name=""BOMB_REGULAR"">가 나타납니다.",draft,,
Enemies/mole_boss_dev,"실제 두더지와 박쥐는 엄밀히 말해 장님이 아니지만, 대중적인 속설을 참고하여 두 적 모두 어둠 상태 효과에 면역이 되도록 하는 것이 테마에 잘 어울린다고 판단했습니다.",draft,,
Enemies/mole_boss_lore,학자들은 숲두더지와 유포르비아 사이에 형성된 예상치 못한 공생 관계에 매료되어 있습니다. 이는 라디아의 모든 생물 중에서 의도적으로 배양한 몇 안 되는 기록된 사례 중 하나입니다.,draft,,
Enemies/mole_boss_name,아보가드로,draft,,
Enemies/mole_plant_desc,"너무 많이 심어지면 끊임없이 들어오는 약한 공격도 위협적입니다. 다만 아보가드로가 이들을 심느라 한눈을 팔면 페그보드에 <sprite name=""BOMB_REGULAR"">가 나타납니다.",draft,,
Enemies/mole_plant_dev,"유포르비아는 ""두더지 식물""인 유포르비아 라티리스를 포함하는 실제 독성 식물 속입니다. 두더지 식물과 관련이 있고 이름에 구슬을 뜻하는 'orb'가 들어간다는 이유도 있어 ""유포르비아""를 골랐지만, 실제 두더지 식물은 오히려 두더지를 쫓아낸다고 알려져 있습니다!",draft,,
Enemies/mole_plant_lore,아보가드로는 빠르게 키워 낸 식물의 강력한 힘으로 두더지들 사이에서 유명합니다. 대부분의 두더지는 작은 관목만 키우거나 기존 잎사귀 뒤에 숨는 데 그칩니다.,draft,,
Enemies/mole_plant_name,유포르비아 (미니언),draft,,
Enemies/painter_boss_desc,"상상의 안료는 페그보드의 에너지를 빨아들이는 살아 있는 그림을 만드는 데 통달했습니다. 이 놀라운 초상화들은 힘을 완전히 채우면 강력하게 공격하고, 쓰러지면 감염성 가스를 내뿜습니다.",draft,,
Enemies/painter_boss_dev,"이 보스는 원래 미니언을 반복해서 부활시키는 강령술사로 계획되었지만, 개발 과정에서 더 독특하고 아티스트에게 더 넓은 캔버스를 제공하기 위해 화가로 변경되었습니다. 원래 계획했던 강령술사에 대한 언급은 성을 진행하면서 전투에서 볼 수 있는 초상화에서 여전히 찾아볼 수 있으며, 점점 더 으스스해지고 있습니다...",draft,,
Enemies/painter_boss_lore,"고뇌에 찬 이 예술가의 영혼은 여전히 성의 복도를 떠돌며, 시간이 끝날 때까지 마지막 그림을 되풀이해 그릴 운명입니다.",draft,,
Enemies/painter_boss_name,상상의 안료,draft,,
Enemies/painting_desc,"이 그림들은 페그에 저장된 에너지를 붙잡아 제 힘으로 쓰는 독특한 능력이 있습니다. 처치하면 에너지를 되찾을 수 있지만, 파괴될 때 감염성 가스를 터뜨리므로 공격 시점을 신중히 고르세요.",draft,,
