Term,Translation,Status,ReviewedBuildId,Comment
Dialogue System/Conversation/Scenario.Castle.OldBrickSlime/Entry/03/Dialogue Text,<style=loseOrb>[var=randomOrb0]</style>와 <style=loseOrb>[var=randomOrb1]</style> 주기.,draft,,
Dialogue System/Conversation/Scenario.Castle.OldBrickSlime/Entry/04/Dialogue Text,도망치기!,draft,,
Dialogue System/Conversation/Scenario.Castle.OldBrickSlime/Entry/05/Dialogue Text,"<style=stone>늙은 벽돌 슬라임박스</style>는 <style=stone>펩볼</style>을 <shake>가루가 되도록</shake> 씹어 먹고 만족스러운 소리를 낸 뒤 다시 잠듭니다.
당신은 다시 길을 나섭니다.",draft,,
Dialogue System/Conversation/Scenario.Castle.OldBrickSlime/Entry/07/Dialogue Text,지치고 늙은 벽돌 슬라임박스에게서 손쉽게 빠져나옵니다.,draft,,
Dialogue System/Conversation/Scenario.Castle.PeglinChef/Entry/01/Dialogue Text,"주방에 잘못 들어선 당신은... 인간 요리사처럼 차려입은 <style=peglin>페글린</style>과 마주칩니다. 귀를 엉성하게 가렸는데도 인간들은 변장을 감쪽같이 믿는 모양입니다.
<wave>""여기서 뭐 하는 거야?! 내 정체가 들키겠잖아!""</wave> 페글린이 꽥 소리칩니다. ""제발, 내가 찾은 <style=objectOfInterest>이 유물</style>을 가지고 여기서 나가 줘!""",draft,,
Dialogue System/Conversation/Scenario.Castle.PeglinChef/Entry/02/Dialogue Text,뇌물을 받고 조용히 나가기,draft,,
Dialogue System/Conversation/Scenario.Castle.PeglinChef/Entry/03/Dialogue Text,"가장 가까운 문으로 몰래 빠져나와, 다른 페글린은 제 할 일을 하게 둡니다.",draft,,
Dialogue System/Conversation/Scenario.Castle.PeglinChef/Entry/04/Dialogue Text,페글린 요리사의 정체를 폭로하기,draft,,
Dialogue System/Conversation/Scenario.Castle.PeglinChef/Entry/05/Dialogue Text,"당신은 크게 소리를 질러 페글린 요리사의 정체를 폭로했고, 인간들은 진심으로 놀란 것 같습니다. 안타깝게도, 주방에서 일을 하던 페글린 요리사는 몸이 재빨랐습니다. 페글린 요리사는 탈출했고, <style=damage>대신 당신이 잡혀버렸습니다!</style>",draft,,
Dialogue System/Conversation/Scenario.Castle.PeglinChef/Entry/06/Dialogue Text,<style=damage>싸우기!</style>,draft,,
Dialogue System/Conversation/Scenario.Castle.PeglinChef/Entry/07/Dialogue Text,"달걀 하나를 넘기기 (<style=damage>-달걀</style>, <style=heal>???</style>)",draft,,
Dialogue System/Conversation/Scenario.Castle.PeglinChef/Entry/08/Dialogue Text,"<style=peglin>에그린</style>은 기뻐하며 당신의 손에서 달걀을 낚아채더니, 놀라울 만큼 빨리 갓 구운 케이크를 들고 돌아옵니다!",draft,,
Dialogue System/Conversation/Scenario.CrowClearing/Entry/01/Dialogue Text,머리 위로 수상할 만큼 많은 까마귀가 <wave>빙빙 도는</wave> 빈터에 도착합니다. 대수롭지 않게 여기던 순간... 까마귀들이 당신에게 <shake><style=stone>펩볼</style>을 떨어뜨리기 시작합니다!</shake>,draft,,
Dialogue System/Conversation/Scenario.CrowClearing/Entry/02/Dialogue Text,가방을 열어 펩볼을 받아보기! (<style=stone>펩볼 +3개</style>),draft,,
Dialogue System/Conversation/Scenario.CrowClearing/Entry/05/Dialogue Text,"돌이 비처럼 쏟아지는 빈터를 전력 질주합니다. <style=damage>몇 번 얻어맞기는 했지만</style>, 적어도 펩볼을 더 짊어질 일은 없습니다.",draft,,
Dialogue System/Conversation/Scenario.CrowClearing/Entry/07/Dialogue Text,"당신은 가방을 머리 위에 이고 상처 하나 없이 빈터를 달리고, 가방 속에는 <style=stone>[var=orb0], [var=orb1], 그리고 [var=orb2]</style>가 담겼습니다.",draft,,
Dialogue System/Conversation/Scenario.CrowClearing/Entry/08/Dialogue Text,도망치기! (<style=damage>-[var=run_dmg] 체력</style>),draft,,
Dialogue System/Conversation/Scenario.CrowClearing/Entry/09/Dialogue Text,까마귀들의 관심 끌기 (<style=damage>무작위 구슬 제거</style>),draft,,
Dialogue System/Conversation/Scenario.CrowClearing/Entry/10/Dialogue Text,"당신은 재빨리 가방에 손을 넣어 작은 손가락에 처음 닿은 구슬을 집어 듭니다. 바로 당신의 <style=damage>[var=orb0]</style>입니다! 까마귀들은 당신의 공물에 만족한 듯하며, 몇 마리는 <bounce>날아내려와</bounce> 선물로 <style=gold>[var=goldToGrant] 골드</style>를 남겨두고 갑니다.",draft,,
Dialogue System/Conversation/Scenario.Forest.BrambleTree/Entry/01/Dialogue Text,"숲 한가운데서 <style=objectOfInterest>이상한 나무</style>가 선 빈터를 발견합니다. 줄기에는 움푹 팬 곳이 있고, 그 안에서 <style=bramble>가시덤불</style>이 마구 뒤엉켜 자라고 있습니다.",draft,,
Dialogue System/Conversation/Scenario.Forest.BrambleTree/Entry/02/Dialogue Text,구멍에 손을 집어넣기 <style=damage>(체력 -[var=brambleNookDamage])</style>,draft,,
Dialogue System/Conversation/Scenario.Forest.BrambleTree/Entry/03/Dialogue Text,"당신은 가시덤불이 마구잡이로 자라난 구멍에 손을 집어넣습니다! <style=damage>손에 가벼운 상처를 입었지만</style>, 손을 빼니 <style=bramble>[var=orb0]</style>이 달라붙어 있었습니다. 쓸모가 있기를 바라야겠군요.",draft,,
Dialogue System/Conversation/Scenario.Forest.BrambleTree/Entry/05/Dialogue Text,계속하기,draft,,
Dialogue System/Conversation/Scenario.Forest.BrambleTree/Entry/06/Dialogue Text,나무를 흔들기,draft,,
Dialogue System/Conversation/Scenario.Forest.BrambleTree/Entry/07/Dialogue Text,온 힘을 다해서 나무를 흔들었더니 높은 나뭇가지 어딘가에서 <style=egg>알</style>이 하나 떨어졌습니다! 당신은 다행히 알을 가방으로 받아냈습니다.,draft,,
Dialogue System/Conversation/Scenario.Forest.BrambleTree/Entry/08/Dialogue Text,구멍에 손을 집어넣기 <style=heal>(+구슬)</style>,draft,,
Dialogue System/Conversation/Scenario.Forest.BrambleTree/Entry/09/Dialogue Text,"무성한 가시덤불로 뒤덮인 구멍에 손을 집어넣습니다! <style=objectOfInterest>정원사의 장갑이 작은 손을 안전하게 지켜 주고</style>, 구멍에서 <style=bramble>[var=orb0]</style>을 꺼냅니다.",draft,,
Dialogue System/Conversation/Scenario.Forest.HealingClearing/Entry/01/Dialogue Text,"숲의 많은 것들이 당신에게 등을 돌렸지만, 이 빈터의 나무 한 그루에는 마지막 남은 선의가 느껴집니다. 나무를 보살피면 그 보답을 받을 수 있을 듯합니다.",draft,,
Dialogue System/Conversation/Scenario.Forest.HealingClearing/Entry/02/Dialogue Text,나뭇잎을 돌보기 (<style=heal>체력 +[var=shallowHeal]</style>),draft,,
Dialogue System/Conversation/Scenario.Forest.HealingClearing/Entry/03/Dialogue Text,나뭇잎에서 마음을 달래는 빛이 나고 최근의 상처가 아물기 시작하자 깊은 안도감이 밀려옵니다.,draft,,
Dialogue System/Conversation/Scenario.Forest.HealingClearing/Entry/05/Dialogue Text,뿌리를 돌보기 (<style=heal>최대 체력 +[var=deepHeal]</style>),draft,,
Dialogue System/Conversation/Scenario.Forest.HealingClearing/Entry/06/Dialogue Text,당신의 도움으로 나무뿌리가 새로운 땅까지 뻗어 나갑니다. 빈터를 떠난 뒤에도 깊은 평온함이 오래도록 이어집니다.,draft,,
Dialogue System/Conversation/Scenario.Forest.HealingClearing/Entry/07/Dialogue Text,빈터 떠나기,draft,,
Dialogue System/Conversation/Scenario.General.DuplicationAltar/Entry/01/Dialogue Text,당신은 구슬을 올려놓기 딱 알맞은 공간이 있는 <color=white>두 개의 똑같은 제단</color>과 마주쳤습니다.,draft,,
Dialogue System/Conversation/Scenario.General.DuplicationAltar/Entry/02/Dialogue Text,제단 위에 구슬을 하나 올리기 <style=heal>(구슬 하나를 복제하기)</style>,draft,,
Dialogue System/Conversation/Scenario.General.DuplicationAltar/Entry/03/Dialogue Text,새로운 <style=objectOfInterest>[var=chosenOrb]</style> 하나가 옆에 있는 제단에 나타납니다! 당신은 그걸 잽싸게 줍고 여정을 계속합니다.,draft,,
Dialogue System/Conversation/Scenario.General.DuplicationAltar/Entry/04/Dialogue Text,떠나기,draft,,
Dialogue System/Conversation/Scenario.General.DuplicationAltar/Entry/05/Dialogue Text,<color=white>두 제단</color>은 말없이 서 있습니다.,draft,,
Dialogue System/Conversation/Scenario.General.EldritchAltar/Entry/01/Dialogue Text,끔찍한 기운이 감도는 제단이 앞을 가로막습니다. 제단에서 뿜어져 나오는 힘이라면... 몸 곳곳의 심한 상처도 치유할 수 있을 듯합니다. 그 끔찍한 대가를 치르겠습니까?,draft,,
Dialogue System/Conversation/Scenario.General.EldritchAltar/Entry/02/Dialogue Text,"수락하기 (<style=damage>-[var=maxHPLoss] 최대 체력</style>, <style=heal2>모든 체력 회복</style>)",draft,,
Dialogue System/Conversation/Scenario.General.EldritchAltar/Entry/03/Dialogue Text,영혼의 일부가... 사라진 것 같은 느낌입니다. 하지만 적어도 육체적 상처는 치유됐으니까요.,draft,,
Dialogue System/Conversation/Scenario.General.EldritchAltar/Entry/07/Dialogue Text,떠나기,draft,,
Dialogue System/Conversation/Scenario.General.Gambler/Entry/01/Dialogue Text,"당신은 <style=peglin>풍상을 겪은 늙은 페글린</style>이 날렵한 손가락 사이로 <bounce>포커 칩을 튕기는 모습</bounce>을 발견합니다.
""자네는 스스로 도박꾼이라고 생각하나?""",draft,,
Dialogue System/Conversation/Scenario.General.Gambler/Entry/02/Dialogue Text,칩 뒤집기 (<style=damage>체력 -[var=loss_dmg]</style> 또는 <style=heal>+유물</style>),draft,,
Dialogue System/Conversation/Scenario.General.Gambler/Entry/03/Dialogue Text,떠나기,draft,,
Dialogue System/Conversation/Scenario.General.Gambler/Entry/04/Dialogue Text,"<style=damage>칩 뒤집기에서 지자</style> 몸에서 힘이 조금 빠지고, <style=peglin>상대 페글린</style>의 두 눈은 장난스럽게 빛납니다.
""고맙네. 한 번 더 하겠나?""",draft,,
Dialogue System/Conversation/Scenario.General.Gambler/Entry/05/Dialogue Text,"<style=heal>칩 뒤집기에서 이겼습니다!</style> <style=peglin>상대 페글린</style>은 씁쓸한 미소를 지으며 <style=objectOfInterest>칩</style>을 건넵니다.
""같이 놀아 줘서 고맙네. 다음 판이 기대되는군!""",draft,,
Dialogue System/Conversation/Scenario.General.Gambler/Entry/06/Dialogue Text,<style=damage>[var=allGold] 골드</style> 투자하기,draft,,
Dialogue System/Conversation/Scenario.General.Gambler/Entry/07/Dialogue Text,"""고마워 친구, 후회는 안 할 거야!"" <style=hidden>아마도...</style>",draft,,
Dialogue System/Conversation/Scenario.General.Gambler/Entry/08/Dialogue Text,<style=damage>[var=halfGold] 골드</style> 투자하기,draft,,
Dialogue System/Conversation/Scenario.General.Gambler/Entry/09/Dialogue Text,갬블린과 '투자하기',draft,,
Dialogue System/Conversation/Scenario.General.Gambler/Entry/10/Dialogue Text,"""오, 훌륭해. 마침 좋은 투자처가 몇 군데 있거든!""",draft,,
Dialogue System/Conversation/Scenario.General.Gambler/Entry/11/Dialogue Text,다시 생각해 보니...,draft,,
Dialogue System/Conversation/Scenario.General.GamblerInvestmentReturn/Entry/01/Dialogue Text,"갬블린이 멍한 표정으로 홀로 서 있는 것을 발견했습니다. 당신을 보자 표정에 놀라움과 약간의 실망감이 스칩니다... ""아, 친구! 다시 만나니 반갑네. 자네가 투자한 돈으로 꽤 큰 수익을 냈어!""",draft,,
Dialogue System/Conversation/Scenario.General.GamblerInvestmentReturn/Entry/02/Dialogue Text,<style=gold>[var=investmentReturn] 골드 받기</style>,draft,,
Dialogue System/Conversation/Scenario.General.GamblerInvestmentReturn/Entry/03/Dialogue Text,갬블린은 멀어지는 당신(과 당신의 골드)을 아쉬운 눈으로 바라봅니다.,draft,,
Dialogue System/Conversation/Scenario.General.HelpfulSpirits/Entry/01/Dialogue Text,"<style=objectOfInterest>신비로운 정령 셋</style>이 {rdir}불쑥 나타나{/rdir} 여행 중인 당신을 놀라게 합니다.
""이 작은 친구에게 우리 도움이 필요하겠어!"" 정령 하나가 <bounce>신이 나 외칩니다</bounce>.",draft,,
Dialogue System/Conversation/Scenario.General.HelpfulSpirits/Entry/03/Dialogue Text,정령 하나가 <style=loseOrb>[var=orb1Name]</style> 하나를 낚아채고는 <style=subtle><incr>허공으로 사라집니다...</incr></style>,draft,,
Dialogue System/Conversation/Scenario.General.HelpfulSpirits/Entry/04/Dialogue Text,[var=orb2Name] 업그레이드하기,draft,,
Dialogue System/Conversation/Scenario.General.HelpfulSpirits/Entry/05/Dialogue Text,[var=orb3Name] 복제하기,draft,,
Dialogue System/Conversation/Scenario.General.HelpfulSpirits/Entry/06/Dialogue Text,정령 하나가 <style=objectOfInterest><incr>신비로운 빛을 내뿜자</incr></style> 모두가 사라집니다. 업그레이드된 <style=objectOfInterest>[var=upgradedOrbVerbose]</style> 덕분에 당신은 조금 더 강해졌습니다.,draft,,
Dialogue System/Conversation/Scenario.General.HelpfulSpirits/Entry/07/Dialogue Text,가방을 들여다보니 <style=objectOfInterest>반짝이는 새 [var=orb3Name]</style> 하나가 들어 있습니다. 고개를 들었을 때 정령들은 이미 <style=subtle><incr>사라진 뒤입니다</incr></style>.,draft,,
Dialogue System/Conversation/Scenario.General.HelpfulSpirits/Entry/08/Dialogue Text,[var=orb1Name] 제거하기,draft,,
Dialogue System/Conversation/Scenario.General.MidasOrb/Entry/01/Dialogue Text,"황금 구슬 얻기 (<style=damage>-[var=allGold] 골드</style>, <style=heal>+구슬</style>)",draft,,
Dialogue System/Conversation/Scenario.General.MidasOrb/Entry/02/Dialogue Text,구슬을 집어 들자 가방 속 골드가 모두 사라집니다. 어쩌면 그 코인들이 당신을 조각상과 같은 운명에서 지켜 준 것인지도 모릅니다...,draft,,
Dialogue System/Conversation/Scenario.General.MidasOrb/Entry/03/Dialogue Text,"조각상 부수기 (<style=damage>[var=thirdGold] 대미지 받기</style>, <style=gold> +[var=randomGoldGain] 골드</style>)",draft,,
Dialogue System/Conversation/Scenario.General.MidasOrb/Entry/04/Dialogue Text,"조각상을 <shake>산산조각 내는</shake> 데 엄청난 힘이 들었지만, 잔해에서 <style=gold>쓸 수 있는 골드</style>를 조금 건집니다.",draft,,
Dialogue System/Conversation/Scenario.General.MidasOrb/Entry/05/Dialogue Text,"모퉁이를 돌자 <style=gold>전체가 황금으로 만들어진</style> 섬뜩한 실물 크기의 페글린 조각상이 보입니다. 조각상은 뻗은 손에 <wave><style=gold>찬란한 황금 구슬</style></wave>을 들고 있는데, 위험할 수 있다는 건 알면서도 조각상이 뿜어내는 매혹적인 광채의 유혹을 뿌리칠 수 없습니다...",draft,,
Dialogue System/Conversation/Scenario.General.MidasOrb/Entry/06/Dialogue Text,"조각상에 제물 바치기 (<style=damage>-[var=upgradeCost] 골드</style>, <style=heal>구슬 하나 업그레이드</style>)",draft,,
Dialogue System/Conversation/Scenario.General.MidasOrb/Entry/07/Dialogue Text,떠나기,draft,,
Dialogue System/Conversation/Scenario.General.MidasOrb/Entry/08/Dialogue Text,조각상은 제물을 기꺼이 받았지만 더 많은 것을 갈망합니다...,draft,,
Dialogue System/Conversation/Scenario.General.MidasOrb/Entry/09/Dialogue Text,떠나기 (<style=damage>-[var=leaveCost] 골드</style>),draft,,
Dialogue System/Conversation/Scenario.General.MidasOrb/Entry/10/Dialogue Text,떠나기,draft,,
Dialogue System/Conversation/Scenario.General.MirrorDuplication/Entry/03/Dialogue Text,"당신은 우연히 <color=#edc65a>이상한 거울</color>에 그림자들이 <wiggle>일렁이는</wiggle> 것을 발견합니다. 정신을 차려보니, 코가 거의 거울에 닿을 지경까지 가까이 다가가 있었습니다. 그림자들은 당신이 들어본 적이 없는 언어로 말을 겁니다. 하지만 왜인지 그들이 제안하는 건 이해가 되는군요...",draft,,
Dialogue System/Conversation/Scenario.General.MirrorDuplication/Entry/04/Dialogue Text,모든 구슬 복제하기 <style=damage>(체력 -[var=low_cost])</style>,draft,,
Dialogue System/Conversation/Scenario.General.MirrorDuplication/Entry/05/Dialogue Text,무작위의 구슬 하나 복제하기 <style=damage>(체력 -[var=high_cost])</style>,draft,,
Dialogue System/Conversation/Scenario.General.MirrorDuplication/Entry/06/Dialogue Text,"당신은 <style=damage>에너지가 이동하는 듯한 불쾌한 기분</style>을 느끼지만, 이내 손에 [var=orb0] 두 개가 들려있는 것을 확인합니다.",draft,,
Dialogue System/Conversation/Scenario.General.MirrorDuplication/Entry/07/Dialogue Text,당신은 거울로부터 큰 에너지가 전해져 오는 것을 느낍니다. <style=objectOfInterest>당신의 모든 구슬이 복제되었습니다!</style>,draft,,
Dialogue System/Conversation/Scenario.General.MirrorRemove/Entry/03/Dialogue Text,"당신은 우연히 <color=#a56cde>이상한 거울</color>에 그림자들이 <wiggle>일렁이는</wiggle> 것을 발견합니다. 정신을 차려보니, 코가 거의 거울에 닿을 지경까지 가까이 다가가 있었습니다. 그림자들은 당신이 들어본 적이 없는 언어로 말을 겁니다. 하지만 왜인지 그들이 제안하는 건 이해가 되는군요...",draft,,
Dialogue System/Conversation/Scenario.General.MirrorRemove/Entry/04/Dialogue Text,구슬 하나 제거하기 <style=damage>(체력 -[var=high_cost])</style>,draft,,
Dialogue System/Conversation/Scenario.General.MirrorRemove/Entry/05/Dialogue Text,모든 구슬 제거하기 <style=damage>(체력 -[var=low_cost])</style>,draft,,
Dialogue System/Conversation/Scenario.General.MirrorRemove/Entry/06/Dialogue Text,지옥 같은 에너지를 받아들이고 [var=chosenOrb]을 거울 너머로 밀어 넣습니다. 그림자들이 잘 써 주기를 바랄 뿐입니다.,draft,,
Dialogue System/Conversation/Scenario.General.MirrorRemove/Entry/07/Dialogue Text,거울 속 그림자들이 짐을 덜어 주겠다고 제안하자 이를 받아들입니다. 가방이 비고 세상이 어둠에 잠기는 동안 희미한 공포가 밀려옵니다.,draft,,
Dialogue System/Conversation/Scenario.General.MirrorRemove/Entry/08/Dialogue Text,???,draft,,
Dialogue System/Conversation/Scenario.General.MirrorRemove/Entry/09/Dialogue Text,얼마 뒤 깨어나 보니 가방 안에는 신비로운 새 <style=orberos>[var=orb0]</style> 하나만 들어 있습니다.,draft,,
Dialogue System/Conversation/Scenario.General.MirrorRemove/Entry/10/Dialogue Text,...,draft,,
Dialogue System/Conversation/Scenario.General.Orbelisk/Entry/01/Dialogue Text,<style=objectOfInterest>어둠의 오벨리스크</style>가 눈앞에 우뚝 서 있습니다. 매혹적인 힘으로 웅웅거리며 대지와 이어진 기운을 내뿜습니다.,draft,,
Dialogue System/Conversation/Scenario.General.Orbelisk/Entry/02/Dialogue Text,기도하여 오벨리스크의 힘을 받기 <style=heal>(+구슬)</style>,draft,,
Dialogue System/Conversation/Scenario.General.Orbelisk/Entry/03/Dialogue Text,힘을 주어 오벨리스크에 <style=stone>[var=randomOrb0]</style> 하나를 집어넣기,draft,,
Dialogue System/Conversation/Scenario.General.Orbelisk/Entry/04/Dialogue Text,"<style=objectOfInterest>오벨리스크</style>의 힘이 당신에게 흘러들어와, 가방 속에 <style=stone>[var=addedOrb]</style>의 모습으로 굳어집니다.",draft,,
Dialogue System/Conversation/Scenario.General.Orbelisk/Entry/06/Dialogue Text,<style=objectOfInterest>오벨리스크</style>의 진정한 잠재력을 끌어내지 못해 실망한 기운이 느껴집니다. 그래도 [var=lostOrb]은 흡수됩니다.,draft,,
Dialogue System/Conversation/Scenario.General.Orbelisk2/Entry/01/Dialogue Text,여러 개의 <style=objectOfInterest>커다란 검은 오벨리스크</style>가 눈앞에 위협적으로 나타납니다. 오벨리스크가 일제히 힘차게 웅웅거리는 소리에 땅이 제멋대로 휘어지는 듯합니다.,draft,,
Dialogue System/Conversation/Scenario.General.Orbelisk2/Entry/02/Dialogue Text,기도하기 (모든 펩볼을 오벨리스구로 변환),draft,,
Dialogue System/Conversation/Scenario.General.Orbelisk2/Entry/03/Dialogue Text,떠나기,draft,,
Dialogue System/Conversation/Scenario.General.Orbelisk2/Entry/04/Dialogue Text,"웅웅거리는 소리가 견디기 힘들 만큼 커지고, 어느새 당신도 라디아의 지각처럼 깊고 한결같이 울리기 시작합니다. 갑작스러운 변화와 함께 주변 오벨리스크의 힘이 꺼지고 빛과 울림도 잦아듭니다. 압도적인 정적 속에서 가방에는 막대한 대지의 힘이 남습니다.",draft,,
Dialogue System/Conversation/Scenario.General.PeglinEcho/Entry/01/Dialogue Text,<style=echo><dangle>신비로운 페글린</dangle></style>의 모습을 언뜻 발견합니다. 예전 자신의 메아리인 듯한데... 어쩌면 당신의 메아리일까요?,draft,,
Dialogue System/Conversation/Scenario.General.PeglinEcho/Entry/02/Dialogue Text,메아리에게 다가가기 <style=heal>(구슬 하나를 업그레이드)</style>,draft,,
Dialogue System/Conversation/Scenario.General.PeglinEcho/Entry/03/Dialogue Text,메아리는 당신에게 <style=objectOfInterest>남은 힘을 나누어 준 뒤</style> 서서히 사라집니다...,draft,,
Dialogue System/Conversation/Scenario.General.PeglinEcho/Entry/04/Dialogue Text,그냥 두기,draft,,
Dialogue System/Conversation/Scenario.General.PeglinEcho/Entry/05/Dialogue Text,<style=echo><dangle> 페글린</dangle></style>이 멍한 눈으로 당신을 쳐다봅니다.,draft,,
Dialogue System/Conversation/Scenario.General.PortableForge/Entry/01/Dialogue Text,"<style=objectOfInterest>뜨겁게 달아올라 당장이라도 제련할 수 있는 용광로</style>를 발견했지만, 이상하게도 주변에는 아무도 없습니다.
사용할 수 있을 듯하지만 <style=peglin>페글린의 작은 손</style>으로는 그 열기를 감당할 수 없습니다.",draft,,
Dialogue System/Conversation/Scenario.General.PortableForge/Entry/02/Dialogue Text,"용광로 사용하기 (체력 <style=damage>-[var=forge_dmg]</style>, <style=objectOfInterest>무작위 구슬 업그레이드</style>)",draft,,
Dialogue System/Conversation/Scenario.General.PortableForge/Entry/03/Dialogue Text,손은 <style=damage>약간 데였지만</style> <style=objectOfInterest>[var=orb0]</style>가 <style=objectOfInterest>[var=orb1]</style>로 업그레이드됐습니다.,draft,,
Dialogue System/Conversation/Scenario.General.PortableForge/Entry/04/Dialogue Text,떠나기,draft,,
Dialogue System/Conversation/Scenario.General.PortableForge/Entry/05/Dialogue Text,가방을 이용해 용광로 들기 (<style=objectOfInterest>+ 특별한 유물</style>),draft,,
Dialogue System/Conversation/Scenario.General.PortableForge/Entry/06/Dialogue Text,"가방을 용광로 위로 씌우자 용광로가 그 안의 공허로 사라집니다. 왜 이 방법이 통하리라 생각했는지는 모르겠지만, 시도하길 잘했습니다.",draft,,
Dialogue System/Conversation/Scenario.General.PortableForge/Entry/07/Dialogue Text,대장간 망치 가져가기 (<style=objectOfInterest>+특별한 유물</style>),draft,,
Dialogue System/Conversation/Scenario.General.PortableForge/Entry/08/Dialogue Text,"<style=peglin><wave>자그마한 팔</wave></style>이 들기에는 꽤 무겁지만, <style=objectOfInterest>특별한 가방</style>을 활용하면 어느 정도는 사용할 수 있을 것입니다.",draft,,
Dialogue System/Conversation/Scenario.General.RainbowSlime/Entry/01/Dialogue Text,"길을 계속 가던 중, 하마터면 혼자 있는 <rainb>무지개 슬라임드롭</rainb>에게 걸려 넘어질 뻔했습니다. 전투가 벌어질 것을 예상하고 방어 태세를 갖추기 시작하는데... 슬라임이 당신에게 말을 걸어옵니다!",draft,,
Dialogue System/Conversation/Scenario.General.RainbowSlime/Entry/02/Dialogue Text,"<rainb>""잠깐 잠깐 잠깐! 난 혼자고 코인도 <wave>완전히</wave> 다 떨어졌다고요... 싸우는 대신 서로 도울 수 있지 않을까요?""</rainb>",draft,,
Dialogue System/Conversation/Scenario.General.RainbowSlime/Entry/03/Dialogue Text,구슬 제거하기 (<style=damage>[var=removeCost] 골드 지불</style>),draft,,
Dialogue System/Conversation/Scenario.General.RainbowSlime/Entry/04/Dialogue Text,<style=damage>싸우기!</style>,draft,,
Dialogue System/Conversation/Scenario.General.RainbowSlime/Entry/05/Dialogue Text,슬라임 무시하기,draft,,
Dialogue System/Conversation/Scenario.General.RainbowSlime/Entry/06/Dialogue Text,"<rainb>""고마워요! 이제 친구들을 따라가 봐야겠어요! 그럼 이만!""</rainb>",draft,,
